1st level,2nd level,3rd level,category.name,category.desc,project.name,project.link,link.git,project.desc
Parser,Parser,Document Processing,Document Processing,Libraries that assist with processing office document formats.,zerocell,https://github.com/creditdatamw/zerocell,TRUE,Annotation-based API for reading data from Excel sheets into POJOs with focus on reduced overhead.
Scientific/Engineering,Scientific/Engineering,Financial,Financial,Libraries related to the financial domain.,Parity,https://github.com/paritytrading/parity,TRUE,Platform for trading venues.
Scientific/Engineering,Scientific/Engineering,Financial,Financial,Libraries related to the financial domain.,Philadelphia,https://github.com/paritytrading/philadelphia,TRUE,Low-latency financial information exchange.
Scientific/Engineering,Scientific/Engineering,Financial,Financial,Libraries related to the financial domain.,Square,https://github.com/square/connect-java-sdk,TRUE,Integration with the Square API.
Scientific/Engineering,Scientific/Engineering,Financial,Financial,Libraries related to the financial domain.,Stripe,https://github.com/stripe/stripe-java,TRUE,Integration with the Stripe API.
Testing,Testing,Formal Verification,Formal Verification,Libraries related to the financial domain.,CATG,https://github.com/ksen007/janala2,TRUE,Concolic unit testing engine. Automatically generates unit tests using formal methods.
#N/A,,Formal Verification,Formal Verification,Libraries related to the financial domain.,Checker Framework,https://github.com/typetools/checker-framework,TRUE,"Pluggable type systems. Includes nullness types, physical units, immutability types and more."
#N/A,,Formal Verification,Formal Verification,Libraries related to the financial domain.,OpenJML,https://github.com/OpenJML/OpenJML,TRUE,Translates JML specifications into SMT-LIB format and passes the proof problems implied by the program to backend solvers.
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,Cyclops,https://github.com/aol/cyclops,TRUE,"Monad and stream utilities, comprehensions, pattern matching, functional extensions for all JDK collections, future streams, trampolines and much more."
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,derive4j,https://github.com/derive4j/derive4j,TRUE,"Java 8 annotation processor and framework for deriving algebraic data types constructors, pattern-matching and morphisms."
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,Fugue,https://bitbucket.org/atlassian/fugue,TRUE,Functional extensions to Guava.
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,Functional Java,https://github.com/functionaljava/functionaljava,TRUE,Implements numerous basic and advanced programming abstractions that assist composition-oriented development.
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,jOO?,https://github.com/jOOQ/jOOL,TRUE,Extension to Java 8 that aims to fix gaps in lambda by providing numerous missing types and a rich set of sequential Stream API additions.
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,protonpack,https://github.com/poetix/protonpack,TRUE,Collection of stream utilities.
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,StreamEx,https://github.com/amaembo/streamex,TRUE,Enhances Java 8 Streams.
Development,Development,Functional Programming,Functional Programming,Libraries that facilitate functional programming.,Vavr,https://github.com/vavr-io/vavr,TRUE,Functional component library that provides persistent data types and functional control structures.
Graphical,Graphical,Game Development,Game Development,Frameworks that support the development of games.,FXGL,https://github.com/AlmasB/FXGL,TRUE,JavaFX Game Development Framework.
Graphical,Graphical,Game Development,Game Development,Frameworks that support the development of games.,jMonkeyEngine,https://github.com/jMonkeyEngine/jmonkeyengine,TRUE,Game engine for modern 3D development.
Graphical,Graphical,Game Development,Game Development,Frameworks that support the development of games.,libGDX,https://github.com/libgdx/libgdx,TRUE,"All-round cross-platform, high-level framework."
Graphical,Graphical,Game Development,Game Development,Frameworks that support the development of games.,LWJGL,https://github.com/LWJGL/lwjgl3,TRUE,Robust framework that abstracts libraries like OpenGL/CL/AL.
Graphical,Graphical,Game Development,Game Development,Frameworks that support the development of games.,Mini2Dx,https://github.com/mini2Dx/mini2Dx,TRUE,"Beginner-friendly, master-ready framework for rapidly prototyping and building 2D games."
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,Apache SIS,https://github.com/apache/sis,TRUE,Library for developing geospatial applications.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,Geo,https://github.com/davidmoten/geo,TRUE,GeoHash utilities in Java.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,GeoTools,https://github.com/geotools/geotools,TRUE,Library that provides tools for geospatial data.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,GraphHopper,https://github.com/graphhopper/graphhopper,TRUE,Road-routing engine. Used as a Java library or standalone web service.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,H2GIS,https://github.com/orbisgis/h2gis,TRUE,Spatial extension of the H2 database.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,Jgeohash,https://github.com/astrapi69/jgeohash,TRUE,Library for using the GeoHash algorithm.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,Mapsforge,https://github.com/mapsforge/mapsforge,TRUE,Map rendering based on OpenStreetMap data.
Scientific/Engineering,Scientific/Engineering,Geospatial,Geospatial,Libraries for working with geospatial data and algorithms.,Spatial4j,https://github.com/locationtech/spatial4j,TRUE,General-purpose spatial/geospatial library.
Graphical,Graphical,GUI,GUI,Libraries to create modern graphical user interfaces.,SWT,https://git.eclipse.org/r/platform/eclipse.platform.swt,TRUE,Graphical widget toolkit.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,Agrona,https://github.com/real-logic/Agrona,TRUE,Data structures and utility methods that are common in high-performance applications.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,Disruptor,https://github.com/LMAX-Exchange/disruptor,TRUE,Inter-thread messaging library.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,Eclipse Collections,https://github.com/eclipse/eclipse-collections,TRUE,Collections framework inspired by Smalltalk.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,fastutil,https://github.com/vigna/fastutil,TRUE,Fast and compact type-specific collections.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,HPPC,https://github.com/carrotsearch/hppc,TRUE,Primitive collections.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,JCTools,https://github.com/JCTools/JCTools,TRUE,Concurrency tools currently missing from the JDK.
Server,Server,High Performance,High Performance,Libraries to create modern graphical user interfaces.,Koloboke,https://github.com/leventov/Koloboke,TRUE,Carefully designed extension of the Java Collections Framework with primitive specializations and more.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,Apache HttpComponents,https://github.com/apache/httpcomponents-core,TRUE,A toolset of low level Java components focused on HTTP and associated protocols.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,Async Http Client,https://github.com/AsyncHttpClient/async-http-client,TRUE,Asynchronous HTTP and WebSocket client library.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,Feign,https://github.com/OpenFeign/feign,TRUE,"HTTP client binder inspired by Retrofit, JAXRS-2.0, and WebSocket."
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,methanol,https://github.com/mizosoft/methanol,TRUE,HTTP client extensions library.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,restQL-java,https://github.com/b2wdigital/restQL-java,TRUE,Microservice query language that fetches information from multiple services.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,Retrofit,https://github.com/square/retrofit,TRUE,Typesafe REST client.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,Riptide,https://github.com/zalando/riptide,TRUE,Client-side response routing for Spring's RestTemplate.
Web,Web,HTTP Clients,HTTP Clients,Libraries to create modern graphical user interfaces.,unirest-java,https://github.com/Kong/unirest-java,TRUE,"Simplified, lightweight HTTP client library."
Parser,Parser,Hypermedia Types,Hypermedia Types,Libraries that handle serialization to hypermedia types.,hate,https://github.com/blackdoor/hate,TRUE,Builds hypermedia-friendly objects according to HAL specification.
Parser,Parser,Hypermedia Types,Hypermedia Types,Libraries that handle serialization to hypermedia types.,JSON-LD,https://github.com/jsonld-java/jsonld-java,TRUE,JSON-LD implementation.
Parser,Parser,Hypermedia Types,Hypermedia Types,Libraries that handle serialization to hypermedia types.,Siren4J,https://github.com/eserating-chwy/siren4j,TRUE,Library for the Siren specification.
Graphical,Graphical,Imagery,Imagery,Integrated development environments that try to simplify several aspects of development.,Imgscalr,https://github.com/rkalla/imgscalr,TRUE,"Simple, efficient and hardware-accelerated image-scaling library implemented in pure Java 2D."
Graphical,Graphical,Imagery,Imagery,Integrated development environments that try to simplify several aspects of development.,Tess4J,https://github.com/nguyenq/tess4j,TRUE,JNA wrapper for Tesseract OCR API.
Graphical,Graphical,Imagery,Imagery,Integrated development environments that try to simplify several aspects of development.,Thumbnailator,https://github.com/coobird/thumbnailator,TRUE,High-quality thumbnail generation library.
Graphical,Graphical,Imagery,Imagery,Integrated development environments that try to simplify several aspects of development.,TwelveMonkeys,https://github.com/haraldk/TwelveMonkeys,TRUE,Collection of plugins that extend the number of supported image file formats.
Graphical,Graphical,Imagery,Imagery,Integrated development environments that try to simplify several aspects of development.,ZXing,https://github.com/zxing/zxing,TRUE,Multi-format 1D/2D barcode image processing library.
Graphical,Graphical,Imagery,Imagery,Integrated development environments that try to simplify several aspects of development.,image-comparison,https://github.com/romankh3/image-comparison,TRUE,Library that compares 2 images with the same sizes and shows the differences visually by drawing rectangles. Some parts of the image can be excluded from the comparison. Can be used for automation qa tests.
Introspection,Introspection,Introspection,Introspection,Libraries that help make the Java introspection and reflection API easier and faster to use.,ClassGraph,https://github.com/classgraph/classgraph,TRUE,ClassGraph
Introspection,Introspection,Introspection,Introspection,Libraries that help make the Java introspection and reflection API easier and faster to use.,jOOR,https://github.com/jOOQ/jOOR,TRUE,jOOR stands for jOOR Object Oriented Reflection. It is a simple wrapper for the java.lang.reflect package.
Introspection,Introspection,Introspection,Introspection,Libraries that help make the Java introspection and reflection API easier and faster to use.,Objenesis,https://github.com/easymock/objenesis,TRUE,"Allows dynamic instantiation without default constructor, e.g. constructors which have required arguments, side effects or throw exceptions."
Introspection,Introspection,Introspection,Introspection,Libraries that help make the Java introspection and reflection API easier and faster to use.,ReflectASM,https://github.com/EsotericSoftware/reflectasm,TRUE,ReflectASM is a very small Java library that provides high performance reflection by using code generation.
Introspection,Introspection,Introspection,Introspection,Libraries that help make the Java introspection and reflection API easier and faster to use.,Reflections,https://github.com/ronmamo/reflections,TRUE,"Reflections scans your classpath, indexes the metadata, allows you to query it on runtime and may save and collect that information for many modules within your project."
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,JobRunr,https://github.com/jobrunr/jobrunr,TRUE,"Job scheduling library which utilizes lambdas for fire-and-forget, delayed and recurring jobs. Guarantees execution by single scheduler instance using optimistic locking. Has features for persistence, minimal dependencies and is embeddable."
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,Quartz,https://github.com/quartz-scheduler/quartz,TRUE,"Feature-rich, open source job scheduling library that can be integrated within virtually any Java application."
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,Sundial,https://github.com/knowm/Sundial,TRUE,"Lightweight framework to simply define jobs, define triggers and start the scheduler."
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,Wisp,https://github.com/Coreoz/Wisp,TRUE,Simple library with minimal footprint and straightforward API.
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,db-scheduler,https://github.com/kagkarlsson/db-scheduler,TRUE,Persistent and cluster-friendly scheduler.
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,easy-batch,https://github.com/j-easy/easy-batch,TRUE,"Set up batch jobs with simple processing pipelines. Records are read in sequence from a data source, processed in pipeline and written in batches to a data sink."
Development,Job Scheduling,Job Scheduling,Job Scheduling,Libraries for scheduling background jobs.,shedlock,https://github.com/lukas-krecan/ShedLock,TRUE,"Makes sure that your scheduled tasks are executed at most once at the same time. If a task is being executed on one node, it acquires a lock which prevents execution of the same task from another node or thread."
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,DSL-JSON,https://github.com/ngs-doo/dsl-json,TRUE,JSON library with advanced compile time databinding.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Genson,https://github.com/owlike/genson,TRUE,Powerful and easy-to-use Java-to-JSON conversion library.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Gson,https://github.com/google/gson,TRUE,Serializes objects to JSON and vice versa. Good performance with on-the-fly usage.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,HikariJSON,https://github.com/brettwooldridge/HikariJSON,TRUE,"High-performance JSON parser, 2x faster than Jackson."
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,jackson-modules-java8,https://github.com/FasterXML/jackson-modules-java8,TRUE,Set of Jackson modules for Java 8 datatypes and features.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Jackson-datatype-money,https://github.com/zalando/jackson-datatype-money,TRUE,Open-source Jackson module to support JSON serialization and deserialization of JavaMoney data types.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Jackson,https://github.com/FasterXML/jackson-databind,TRUE,"Similar to GSON, but offers performance gains if you need to instantiate the library more often."
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,JSON-io,https://github.com/jdereg/json-io,TRUE,Convert Java to JSON. Convert JSON to Java. Pretty print JSON. Java JSON serializer.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,jsoniter,https://github.com/json-iterator/java,TRUE,Fast and flexible library with iterator and lazy parsing API.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,LoganSquare,https://github.com/bluelinelabs/LoganSquare,TRUE,JSON parsing and serializing library based on Jackson's streaming API. Outperforms GSON & Jackson's library.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Moshi,https://github.com/square/moshi,TRUE,"Modern JSON library, less opinionated and uses built-in types like List and Map."
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Yasson,https://github.com/eclipse-ee4j/yasson,TRUE,Binding layer between classes and JSON documents similar to JAXB.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,fastjson,https://github.com/alibaba/fastjson,TRUE,Very fast processor with no additional dependencies and full data binding.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,Jolt,https://github.com/bazaarvoice/jolt,TRUE,JSON to JSON transformation tool.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,JsonPath,https://github.com/json-path/JsonPath,TRUE,Extract data from JSON using XPATH-like syntax.
Parser,Parser,JSON,JSON,Libraries for serializing and deserializing JSON to and from Java objects.,JsonSurfer,https://github.com/jsurfer/JsonSurfer,TRUE,Streaming JsonPath processor dedicated to processing big and complicated JSON data.
Development,Development,JVM and JDK,JVM and JDK,,Graal,https://github.com/oracle/graal,TRUE,Polyglot embeddable JVM.
Development,Development,JVM and JDK,JVM and JDK,,OpenJ9,https://github.com/eclipse/openj9,TRUE,"High performance, enterprise-calibre, flexibly licensed, openly-governed cross-platform JVM extending and augmenting the runtime technology components from the Eclipse OMR and OpenJDK project."
Development,Development,JVM and JDK,JVM and JDK,,ParparVM,https://github.com/codenameone/CodenameOne,TRUE,"VM with non-blocking, concurrent GC for iOS."
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,Apache Log4j 2,https://github.com/apache/logging-log4j2,TRUE,Complete rewrite with a powerful plugin and configuration architecture.
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,Logback,https://github.com/qos-ch/logback,TRUE,Robust logging library with interesting configuration options via Groovy.
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,Logbook,https://github.com/zalando/logbook,TRUE,"Extensible, open-source library for HTTP request and response logging."
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,Logstash,https://github.com/elastic/logstash,TRUE,Tool for managing log files.
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,p6spy,https://github.com/p6spy/p6spy,TRUE,Enables logging for all JDBC transactions without changes to the code.
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,SLF4J,https://github.com/qos-ch/slf4j,TRUE,Abstraction layer/simple logging facade.
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,tinylog,https://github.com/pmwmedia/tinylog,TRUE,Lightweight logging framework with static logger class.
Development,Development,Logging,Logging,Libraries that log the behavior of an application.,OpenTracing Toolbox,https://github.com/zalando/opentracing-toolbox,TRUE,Collection of libraries that build on top of OpenTracing and provide extensions and plugins to existing instrumentations.
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Apache Flink,https://github.com/apache/flink,TRUE,"Fast, reliable, large-scale data processing engine."
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Apache Mahout,https://github.com/apache/mahout,TRUE,"Scalable algorithms focused on collaborative filtering, clustering and classification."
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Deeplearning4j,https://github.com/eclipse/deeplearning4j/,TRUE,Distributed and multi-threaded deep learning library.
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,JSAT,https://github.com/EdwardRaff/JSAT,TRUE,"Algorithms for pre-processing, classification, regression, and clustering with support for multi-threaded execution."
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Oryx 2,https://github.com/OryxProject/oryx,TRUE,"Framework for building real-time, large-scale machine learning applications. Includes end-to-end applications for collaborative filtering, classification, regression, and clustering."
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Siddhi,https://github.com/siddhi-io/siddhi,TRUE,Cloud native streaming and complex event processing engine.
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Smile,https://github.com/haifengl/smile,TRUE,Statistical Machine Intelligence and Learning Engine provides a set of machine learning algorithms and a visualization library.
Scientific/Engineering,Scientific/Engineering,Machine Learning,Machine Learning,Tools that provide specific statistical algorithms for learning from data.,Weka,https://github.com/Waikato/weka-3.8,TRUE,Collection of algorithms for data mining tasks ranging from pre-processing to visualization.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Aeron,https://github.com/real-logic/Aeron,TRUE,"Efficient, reliable, unicast and multicast message transport."
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Apache ActiveMQ,https://github.com/apache/activemq,TRUE,Message broker that implements JMS and converts synchronous to asynchronous communication.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Apache Camel,https://github.com/apache/camel/,TRUE,Glues together different transport APIs via Enterprise Integration Patterns.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Apache Kafka,https://github.com/apache/kafka,TRUE,High-throughput distributed messaging system.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Apache Pulsar,https://github.com/apache/pulsar,TRUE,Distributed pub/sub-messaging system.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Apache RocketMQ,https://github.com/apache/rocketmq,TRUE,"Fast, reliable, and scalable distributed messaging platform."
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,EventBus,https://github.com/greenrobot/EventBus,TRUE,Simple publish/subscribe event bus.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Hermes,https://github.com/allegro/hermes,TRUE,Fast and reliable message broker built on top of Kafka.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,JeroMQ,https://github.com/zeromq/jeromq,TRUE,Implementation of ZeroMQ.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Nakadi,https://github.com/zalando/nakadi,TRUE,Provides a RESTful API on top of Kafka.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,RabbitMQ Java client,https://github.com/rabbitmq/rabbitmq-java-client,TRUE,RabbitMQ client.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,Smack,https://github.com/igniterealtime/Smack,TRUE,Cross-platform XMPP client library.
Networking,Networking,Messaging,Messaging,Tools that help send messages between clients to ensure protocol independency.,NATS client,https://github.com/nats-io/nats.java,TRUE,NATS client.
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Apollo,https://github.com/spotify/apollo,TRUE,Libraries for writing composable microservices.
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Armeria,https://github.com/line/armeria,TRUE,"Asynchronous RPC/REST client/server library built on top of Java 8, Netty, HTTP/2, Thrift and gRPC."
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,consul-api,https://github.com/Ecwid/consul-api,TRUE,"Client for the Consul API: a distributed, highly available and datacenter-aware registry/discovery service."
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Eureka,https://github.com/Netflix/eureka,TRUE,REST-based service registry for resilient load balancing and failover.
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Helidon,https://github.com/oracle/helidon,TRUE,Two-style approach for writing microservices: Functional-reactive and as an implementation of MicroProfile.
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Micronaut,https://github.com/micronaut-projects/micronaut-core,TRUE,"Modern full-stack framework with focus on modularity, minimal memory footprint and startup time."
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Nacos,https://github.com/alibaba/nacos,TRUE,"Dynamic service discovery, configuration and service management platform for building cloud native applications."
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Quarkus,https://github.com/quarkusio/quarkus,TRUE,Kubernetes stack tailored for the HotSpot and Graal VM.
Server,Server,Microservice,Microservice,Tools for creating and managing microservices.,Sentinel,https://github.com/alibaba/Sentinel,TRUE,"Flow control component enabling reliability, resilience and monitoring for microservices."
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,CQEngine,https://github.com/npgall/cqengine,TRUE,"Ultra-fast, SQL-like queries on Java collections."
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Design Patterns,https://github.com/iluwatar/java-design-patterns,TRUE,Implementation and explanation of the most common design patterns.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,FF4J,https://github.com/ff4j/ff4j,TRUE,Feature Flags for Java.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,JavaCV,https://github.com/bytedeco/javacv,TRUE,"Java interface to OpenCV, FFmpeg, and more."
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,JBake,https://github.com/jbake-org/jbake,TRUE,Static website generator.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,JBot,https://github.com/rampatra/jbot,TRUE,Framework for building chatbots.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Jimfs,https://github.com/google/jimfs,TRUE,In-memory file system.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Joda-Money,https://github.com/JodaOrg/joda-money,TRUE,Basic currency and money classes and algorithms not provided by the JDK.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Maven Wrapper,https://github.com/takari/maven-wrapper,TRUE,"Analogue of Gradle Wrapper for Maven, allows building projects without installing maven."
Web,Web,Miscellaneous,Miscellaneous,Everything else.,Membrane Service Proxy,https://github.com/membrane/service-proxy,TRUE,"Open-source, reverse-proxy framework."
Server,Server,Miscellaneous,Miscellaneous,Everything else.,MinimalFTP,https://github.com/Guichaguri/MinimalFTP,TRUE,"Lightweight, small and customizable FTP server."
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Modernizer,https://github.com/gaul/modernizer-maven-plugin,TRUE,Detect uses of legacy Java APIs.
Data,Data Management,Miscellaneous,Miscellaneous,Everything else.,OpenRefine,https://github.com/OpenRefine/OpenRefine,TRUE,"Tool for working with messy data: cleaning, transforming, extending it with web services and linking it to databases."
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,PipelinR,https://github.com/sizovs/pipelinr,TRUE,Small utility library for using handlers and commands with pipelines.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Polyglot for Maven,https://github.com/takari/polyglot-maven,TRUE,Extensions for Maven 3.3.1+ that allows writing the POM model in dialects other than XML.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Simple Java Mail,https://github.com/bbottema/simple-java-mail,TRUE,Mailing with a clean and fluent API.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Smooks,https://github.com/smooks/smooks,TRUE,"Extensible framework for building applications that process data which means bindings, transformations, message processing and enrichment."
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,Togglz,https://github.com/togglz/togglz,TRUE,Implementation of the Feature Toggles pattern.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,TypeTools,https://github.com/jhalterman/typetools,TRUE,Tools for resolving generic types.
Parser,Parser,Miscellaneous,Miscellaneous,Everything else.,XMLBeam,https://github.com/SvenEwald/xmlbeam,TRUE,Processes XML by using annotations or XPath within code.
Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Everything else.,yGuard,https://github.com/yWorks/yGuard,TRUE,Obfuscation via renaming and shrinking.
Development,Development,Mobile Development,Mobile Development,Tools for creating or managing mobile applications.,Codename One,https://github.com/codenameone/CodenameOne,TRUE,Cross-platform solution for writing native mobile apps.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,Automon,https://github.com/stevensouza/automon,TRUE,Combines the power of AOP with monitoring and/or logging tools.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,Failsafe Actuator,https://github.com/zalando/failsafe-actuator,TRUE,Out of the box monitoring of Failsafe Circuit Breaker in Spring-Boot environment.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,Glowroot,https://github.com/glowroot/glowroot,TRUE,Open-source Java APM.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,inspectIT,https://github.com/inspectIT/inspectit-ocelot,TRUE,Captures detailed run-time information via hooks that can be changed on the fly. It supports tracing over multiple systems via the OpenTracing API and can correlate the data with end user monitoring.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,JavaMelody,https://github.com/javamelody/javamelody,TRUE,Performance monitoring and profiling.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,Jaeger client,https://github.com/jaegertracing/jaeger-client-java,TRUE,Jaeger client.
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,jmxtrans,https://github.com/jmxtrans/jmxtrans,TRUE,"Connect to multiple JVMs and query them for their attributes via JMX. Its query language is based on JSON, which allows non-Java programmers to access the JVM attributes. Supports different output writes, including Graphite, Ganglia, and StatsD."
Development,Monitoring,Monitoring,Monitoring,Tools that monitor applications in production.,Jolokia,https://github.com/rhuss/jolokia,TRUE,JMX over REST.
